domain_id	rank	domain	rank_bucket	source_list_id	source_sha256	syntax_eligible	reachability_eligible	main_http_status	main_commit_success	main_commit_latency_ms	warning_count	audit_timestamp
domain0001	2	cloudflare.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2326	0	2026-08-27T07:42:41Z
domain0002	5	microsoft.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4161	2	2026-08-27T07:42:41Z
domain0003	7	amazonaws.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1954	2	2026-08-27T07:42:41Z
domain0004	9	apple.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	459	1	2026-08-27T07:43:11Z
domain0005	13	mail.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4383	1	2026-08-27T07:43:11Z
domain0006	17	dzen.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2660	1	2026-08-27T07:43:41Z
domain0007	18	linkedin.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4288	1	2026-08-27T07:43:41Z
domain0008	21	office.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3136	1	2026-08-27T07:43:41Z
domain0009	24	live.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2291	1	2026-08-27T07:43:41Z
domain0010	26	amazon.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	202	true	4405	0	2026-08-27T07:44:11Z
domain0011	28	azure.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3555	1	2026-08-27T07:44:11Z
domain0012	29	bing.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1148	0	2026-08-27T07:44:11Z
domain0013	30	github.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	833	1	2026-08-27T07:44:11Z
domain0014	34	fastly.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	6553	0	2026-08-27T07:44:42Z
domain0015	43	gandi.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4942	0	2026-08-27T07:45:03Z
domain0016	44	sharepoint.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	9256	1	2026-08-27T07:45:03Z
domain0017	47	wordpress.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1592	1	2026-08-27T07:45:03Z
domain0018	48	skype.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2875	0	2026-08-27T07:45:03Z
domain0019	49	cloud.microsoft	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3625	1	2026-08-27T07:45:24Z
domain0020	56	icloud.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	527	1	2026-08-27T07:45:24Z
domain0021	64	msn.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1758	1	2026-08-27T07:45:54Z
domain0022	67	ntp.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3497	1	2026-08-27T07:46:24Z
domain0023	71	wa.me	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1164	1	2026-08-27T07:46:24Z
domain0024	73	nginx.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	820	0	2026-08-27T07:46:48Z
domain0025	77	zoom.us	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4826	1	2026-08-27T07:46:48Z
domain0026	81	baidu.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	369	1	2026-08-27T07:47:09Z
domain0027	85	windows.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	6466	0	2026-08-27T07:47:09Z
domain0028	91	qq.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	411	1	2026-08-27T07:47:31Z
domain0029	93	samsung.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3022	1	2026-08-27T07:47:31Z
domain0030	95	mozilla.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3086	1	2026-08-27T07:47:31Z
domain0031	96	nginx.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5256	0	2026-08-27T07:47:31Z
domain0032	97	wordpress.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2531	1	2026-08-27T07:47:54Z
domain0033	100	yandex.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4560	2	2026-08-27T07:47:54Z
domain0034	102	nic.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1267	1	2026-08-27T07:47:54Z
domain0035	103	sentry.io	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2085	0	2026-08-27T07:47:54Z
domain0036	104	achmea.nl	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4149	1	2026-08-27T07:47:54Z
domain0037	106	ui.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1163	1	2026-08-27T07:48:24Z
domain0038	110	b-cdn.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2701	0	2026-08-27T07:48:24Z
domain0039	111	outlook.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3792	0	2026-08-27T07:48:24Z
domain0040	112	bit.ly	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	996	0	2026-08-27T07:48:24Z
domain0041	114	europa.eu	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2246	0	2026-08-27T07:48:55Z
domain0042	117	registrar-servers.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	985	0	2026-08-27T07:48:55Z
domain0043	118	vk.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3221	1	2026-08-27T07:48:55Z
domain0044	121	afternic.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2647	0	2026-08-27T07:49:16Z
domain0045	122	github.io	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3168	1	2026-08-27T07:49:16Z
domain0046	123	criteo.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1090	1	2026-08-27T07:49:16Z
domain0047	124	f5.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3278	1	2026-08-27T07:49:16Z
domain0048	125	amazonvideo.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3871	1	2026-08-27T07:49:16Z
domain0049	127	apache.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	890	1	2026-08-27T07:49:16Z
domain0050	142	kaspersky.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	8283	1	2026-08-27T07:49:52Z
domain0051	145	intuit.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4155	1	2026-08-27T07:50:22Z
domain0052	151	reg.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	987	0	2026-08-27T07:50:22Z
domain0053	155	xiaomi.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	605	0	2026-08-27T07:50:43Z
domain0054	162	one.one	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3121	0	2026-08-27T07:51:14Z
domain0055	167	applovin.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2306	0	2026-08-27T07:51:14Z
domain0056	173	vk.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2366	1	2026-08-27T07:51:35Z
domain0057	174	shopify.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1899	0	2026-08-27T07:51:35Z
domain0058	176	mts.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	13655	1	2026-08-27T07:51:35Z
domain0059	178	adobe.io	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3762	1	2026-08-27T07:51:59Z
domain0060	183	example.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1036	0	2026-08-27T07:51:59Z
domain0061	186	w3.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1078	0	2026-08-27T07:52:20Z
domain0062	191	cnn.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4461	0	2026-08-27T07:52:20Z
domain0063	192	rubiconproject.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5068	1	2026-08-27T07:52:20Z
domain0064	197	creativecommons.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1365	1	2026-08-27T07:52:35Z
domain0065	198	lencr.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3448	0	2026-08-27T07:52:35Z
domain0066	201	taboola.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5241	1	2026-08-27T07:52:58Z
domain0067	206	doi.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2120	1	2026-08-27T07:52:58Z
domain0068	207	miui.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	295	0	2026-08-27T07:52:58Z
domain0069	211	t-online.de	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2919	0	2026-08-27T07:53:28Z
domain0070	213	adsafeprotected.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4088	0	2026-08-27T07:53:28Z
domain0071	216	pages.dev	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3344	0	2026-08-27T07:53:28Z
domain0072	217	mit.edu	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3113	0	2026-08-27T07:53:58Z
domain0073	218	cpanel.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3383	1	2026-08-27T07:53:58Z
domain0074	227	nist.gov	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1979	1	2026-08-27T07:54:20Z
domain0075	233	ubuntu.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1548	1	2026-08-27T07:54:50Z
domain0076	234	userapi.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4237	1	2026-08-27T07:54:50Z
domain0077	238	stripe.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	901	1	2026-08-27T07:54:50Z
domain0078	240	pubmatic.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	202	true	1196	0	2026-08-27T07:54:50Z
domain0079	246	cisco.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3437	1	2026-08-27T07:55:11Z
domain0080	250	hubspot.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2675	1	2026-08-27T07:55:41Z
domain0081	251	adsrvr.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	6222	1	2026-08-27T07:55:41Z
domain0082	252	who.int	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2632	1	2026-08-27T07:55:41Z
domain0083	254	booking.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	202	true	2156	0	2026-08-27T07:55:41Z
domain0084	259	scorecardresearch.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2576	1	2026-08-27T07:55:58Z
domain0085	260	launchpad.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1426	0	2026-08-27T07:55:58Z
domain0086	262	meraki.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4946	1	2026-08-27T07:55:58Z
domain0087	266	ibm.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5709	1	2026-08-27T07:56:21Z
domain0088	267	duckdns.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4253	1	2026-08-27T07:56:21Z
domain0089	269	alidns.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	84	1	2026-08-27T07:56:21Z
domain0090	273	springer.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4768	0	2026-08-27T07:56:42Z
domain0091	276	forter.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1917	1	2026-08-27T07:56:42Z
domain0092	278	tinyurl.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1358	1	2026-08-27T07:56:42Z
domain0093	279	amplitude.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	985	1	2026-08-27T07:56:42Z
